,ts,wspd,humidity,tempe,icon
91,2016-12-11 11:00:00,2.22222222222,88.0,8.0,http://icons.wxug.com/i/c/k/clear.gif
92,2016-12-11 12:00:00,2.77777777778,84.0,9.0,http://icons.wxug.com/i/c/k/clear.gif
93,2016-12-11 13:00:00,2.22222222222,80.0,9.0,http://icons.wxug.com/i/c/k/clear.gif
94,2016-12-11 14:00:00,2.22222222222,80.0,9.0,http://icons.wxug.com/i/c/k/clear.gif
95,2016-12-11 15:00:00,2.22222222222,81.0,9.0,http://icons.wxug.com/i/c/k/clear.gif
96,2016-12-11 16:00:00,2.22222222222,84.0,8.0,http://icons.wxug.com/i/c/k/nt_clear.gif
97,2016-12-11 17:00:00,1.66666666667,87.0,7.0,http://icons.wxug.com/i/c/k/nt_clear.gif
98,2016-12-11 18:00:00,1.66666666667,90.0,7.0,http://icons.wxug.com/i/c/k/nt_clear.gif
99,2016-12-11 19:00:00,1.66666666667,92.0,6.0,http://icons.wxug.com/i/c/k/nt_clear.gif
100,2016-12-11 20:00:00,1.38888888889,91.0,6.0,http://icons.wxug.com/i/c/k/nt_clear.gif
101,2016-12-11 21:00:00,1.66666666667,93.0,6.0,http://icons.wxug.com/i/c/k/nt_clear.gif
102,2016-12-11 22:00:00,1.38888888889,95.0,6.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
103,2016-12-11 23:00:00,1.38888888889,98.0,5.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
104,2016-12-12 00:00:00,0.833333333333,95.0,5.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
105,2016-12-12 01:00:00,1.38888888889,97.0,4.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
106,2016-12-12 02:00:00,0.833333333333,97.0,4.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
107,2016-12-12 03:00:00,0.833333333333,97.0,4.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
108,2016-12-12 04:00:00,1.38888888889,98.0,3.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
109,2016-12-12 05:00:00,1.66666666667,98.0,3.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
110,2016-12-12 06:00:00,1.38888888889,99.0,3.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
111,2016-12-12 07:00:00,1.38888888889,100.0,3.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
112,2016-12-12 08:00:00,0.833333333333,100.0,4.0,http://icons.wxug.com/i/c/k/cloudy.gif
113,2016-12-12 09:00:00,1.38888888889,100.0,4.0,http://icons.wxug.com/i/c/k/cloudy.gif
114,2016-12-12 10:00:00,1.66666666667,95.0,6.0,http://icons.wxug.com/i/c/k/cloudy.gif
115,2016-12-12 11:00:00,2.22222222222,92.0,7.0,http://icons.wxug.com/i/c/k/cloudy.gif
116,2016-12-12 12:00:00,3.05555555556,88.0,8.0,http://icons.wxug.com/i/c/k/cloudy.gif
117,2016-12-12 13:00:00,3.61111111111,84.0,8.0,http://icons.wxug.com/i/c/k/cloudy.gif
118,2016-12-12 14:00:00,3.61111111111,81.0,8.0,http://icons.wxug.com/i/c/k/cloudy.gif
119,2016-12-12 15:00:00,3.61111111111,81.0,8.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
120,2016-12-12 16:00:00,3.05555555556,83.0,8.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
121,2016-12-12 17:00:00,3.05555555556,87.0,8.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
